author,rating_count,reader_count,average_rating,biography,wikipedia_title,source_url,api_status
Bill Watterson,333,143,9.19,"William Boyd Watterson II (born July 5, 1958) is an American cartoonist who authored the comic strip Calvin and Hobbes. The strip was syndicated from 1985 to 1995. Watterson concluded Calvin and Hobbes with a short statement to newspaper readers that he felt he had achieved all he could in the medium. Watterson is known for his negative views on comic syndication and licensing, his efforts to expand and elevate the newspaper comic as an art form, and his move back into private life after Calvin and Hobbes ended.
Watterson was born in Washington, D.C., and grew up in Chagrin Falls, Ohio. The suburban Midwestern United States setting of Ohio was part of the inspiration for the setting of Calvin...",Bill Watterson,https://en.wikipedia.org/wiki/Bill_Watterson,needs_review
Dr. Seuss,207,131,9.18,"Theodor Seuss Geisel (  sooss GHY-zəl, zoyss -⁠; March 2, 1904 – September 24, 1991) was an American children's author, illustrator, animator, and cartoonist. He is known for his work writing and illustrating more than 60 books under the pen name Dr. Seuss ( sooss, zooss). His work includes many of the most popular children's books of all time, selling over 600 million copies and being translated into more than 20 languages by the time of his death.
Geisel adopted the name ""Dr. Seuss"" as an undergraduate at Dartmouth College and as a graduate student at Lincoln College, Oxford. He left Oxford in 1927 to begin his career as an illustrator and cartoonist for Vanity Fair, Life, and various other...",Dr. Seuss,https://en.wikipedia.org/wiki/Dr._Seuss,needs_review
Harper Lee,281,280,8.99,"Nelle Harper Lee (April 28, 1926 – February 19, 2016) was an American novelist whose 1960 novel To Kill a Mockingbird won the 1961 Pulitzer Prize and became a classic of modern American literature. She assisted her close friend Truman Capote in his research for the book In Cold Blood (1966). An earlier draft of Mockingbird, set at a later date, Go Set a Watchman, was published in July 2015 as a sequel. A collection of her short stories and essays, The Land of Sweet Forever, was published on October 21, 2025.
The plot and characters of To Kill a Mockingbird are loosely based on Lee's observations of her family and neighbors in Monroeville, Alabama, as well as a childhood event that occurred near...",Harper Lee,https://en.wikipedia.org/wiki/Harper_Lee,needs_review
Antoine de Saint-Exupéry,226,205,8.97,"Antoine Marie Jean-Baptiste Roger, vicomte de Saint-Exupéry (29 June 1900 – c. 31 July 1944), known simply as Antoine de Saint-Exupéry (UK: , US: ; French: [ɑ̃twan də sɛ̃t‿ɛɡzypeʁi] ), was a French writer, poet, journalist and aviator.
Born in Lyon to an aristocratic family, Saint-Exupéry trained as a commercial pilot in the early 1920s, working airmail routes across Europe, Africa, and South America. Between 1926 and 1939, four of his literary works were published: the short story The Aviator, novels Southern Mail and Night Flight, and the memoir Wind, Sand and Stars. Saint-Exupéry joined the French Air Force for World War II and flew reconnaissance missions until France's armistice with Germany...",Antoine de Saint-Exupéry,https://en.wikipedia.org/wiki/Antoine_de_Saint-Exup%C3%A9ry,needs_review
J. K. Rowling,1766,1013,8.97,"Joanne Rowling (  ROH-ling; born 31 July 1965), better known by her pen name J. K. Rowling, is a British author, philanthropist, producer, and screenwriter. She is best known for writing Harry Potter, a seven-volume series about a young wizard and the best-selling book series in history, with over 600 million copies sold. She also writes Cormoran Strike, an ongoing crime fiction series, under the alias Robert Galbraith.
Rowling conceived the idea for the Harry Potter series in 1990. The seven-year period that followed saw the death of her mother, the birth of her first child, divorce from her first husband, and relative poverty until the first novel in the series, Harry Potter and the Philosopher...",J. K. Rowling,https://en.wikipedia.org/wiki/J._K._Rowling,needs_review
E. B. White,156,141,8.85,"Elwyn Brooks White (July 11, 1899 – October 1, 1985) was an American writer, essayist, and a contributing editor for The New Yorker magazine. He was also the author of highly popular books for children: Stuart Little (1945), Charlotte's Web (1952), and The Trumpet of the Swan (1970).
In a 2012 survey of School Library Journal readers, Charlotte's Web was ranked first in their poll of the top one hundred children's novels. White was co-author of The Elements of Style, an English language style guide. Kurt Vonnegut called White ""one of the most admirable prose stylists our country has so far produced.""",E. B. White,https://en.wikipedia.org/wiki/E._B._White,needs_review
L. M. Montgomery,377,191,8.83,"Lucy Maud Montgomery (November 30, 1874 – April 24, 1942), published as L. M. Montgomery, was a Canadian author best known for a collection of novels, essays, short stories, and poetry beginning in 1908 with Anne of Green Gables. 
She published 20 novels and more than a thousand short stories and poems over the course of her career. She was also a prolific essayist. Anne of Green Gables was an immediate success; the title character, orphan Anne Shirley, made Montgomery famous in her lifetime and gave her an international following. Most of the novels were set on Prince Edward Island and those locations within Canada's smallest province became a literary landmark and popular tourist site—namely...",Lucy Maud Montgomery,https://en.wikipedia.org/wiki/Lucy_Maud_Montgomery,needs_review
ANNE FRANK,179,169,8.73,"Annelies Marie Frank (12 June 1929 – c. February or March 1945) was a German-born Jewish diarist and Holocaust victim. She gained worldwide notability posthumously for keeping a diary documenting her life in hiding during the German occupation of the Netherlands. In the diary, she regularly described her family's everyday life in their hiding place in a secret annex in Amsterdam from 1942 until their arrest in 1944.
Anne Frank was born in Frankfurt, Germany, in 1929. In 1934, when she was four-and-a-half, Anne and her family moved to Amsterdam after Adolf Hitler of the Nazi Party was appointed to govern Germany. By May 1940, her family were trapped in Amsterdam due to Germany's occupation. Frank...",Anne Frank,https://en.wikipedia.org/wiki/Anne_Frank,needs_review
J. R. R. Tolkien,1243,731,8.71,"John Ronald Reuel Tolkien (; 3 January 1892 – 2 September 1973) was an English writer and academic philologist. He was the author of the high fantasy works The Hobbit (1937) and The Lord of the Rings (1954–1955).
From 1925 to 1945 Tolkien was the Rawlinson and Bosworth Professor of Anglo-Saxon and a Fellow of Pembroke College, both at the University of Oxford. He then moved within the same university to become the Merton Professor of English Language and Literature and Fellow of Merton College, and held these positions from 1945 until his retirement in 1959. Tolkien was a devout Catholic and a close friend of C. S. Lewis, a co-member of the Inklings, an informal literary discussion group. He...",J. R. R. Tolkien,https://en.wikipedia.org/wiki/J._R._R._Tolkien,needs_review
Frances Hodgson Burnett,166,152,8.64,"Frances Eliza Hodgson Burnett (24 November 1849 – 29 October 1924) was a British-American novelist and playwright. She is best known for the three children's novels Little Lord Fauntleroy (1886), A Little Princess (1905), and The Secret Garden (1911).
Hodgson was born in Cheetham, Manchester, England. After her father died in 1853, when Frances was only four years old, the family fell on strained circumstances and emigrated to the United States 12 years later, settling in New Market, Tennessee. Frances began her writing career there at age 19 to help earn money for the family, publishing stories in magazines. In 1870, her mother died. Three years later, Hodgson married Swan Burnett in Knoxville...",Frances Hodgson Burnett,https://en.wikipedia.org/wiki/Frances_Hodgson_Burnett,needs_review
